driver_id,total_fare,avg_distance
51,134.48,2.72
69,87.04,36.68
64,20.27,45.19
3,123.03,11.44
59,101.44,46.41
8,33.69,3.93
22,106.53,11.72
16,8.96,1.97
99,62.96,20.94
96,49.54,38.93
5,136.11,44.9
26,83.4,24.93
78,121.36,17.37
6,51.31,11.68
23,53.98,45.64
38,114.35,7.21
53,127.75999999999999,24.65
92,26.15,5.1
33,154.89,26.735
97,85.39,33.13
79,35.65,24.2
9,111.47,32.35
1,140.71,33.33
20,32.15,20.5
36,14.75,36.06
62,95.33,13.44
12,43.8,45.03
83,118.36,46.41
13,127.44,35.43
50,74.9,4.14
45,93.76,23.42
