driver_id,total_fare,avg_distance
51,134.48,2.72
69,87.04,36.68
42,14.36,41.06
73,136.17,25.97
64,20.27,45.19
3,123.03,11.44
59,101.44,46.41
8,33.69,3.93
22,106.53,11.72
28,51.37,14.22
85,31.76,12.79
16,8.96,1.97
99,62.96,20.94
96,80.71000000000001,24.814999999999998
5,136.11,44.9
100,140.94,45.7
75,146.48,15.34
26,83.4,24.93
78,121.36,17.37
6,51.31,11.68
23,53.98,45.64
38,114.35,7.21
82,142.06,39.46
53,127.75999999999999,24.65
92,26.15,5.1
33,154.89,26.735
97,299.18,27.02333333333333
79,52.41,19.65
9,190.07999999999998,33.265
32,149.95,24.925
1,140.71,33.33
20,32.15,20.5
36,14.75,36.06
49,43.87,34.06
62,95.33,13.44
12,43.8,45.03
83,118.36,46.41
13,127.44,35.43
50,184.06,22.865000000000002
45,93.76,23.42
